otime,o,h,l,c,vol,ctime,quoteAssetVolume,nTrades,buyBaseAssetV,buyQuoteAssetV,unused
2019-12-22,127.0,133.07000000,126.82000000,132.09,253140.72413,2019-12-22 23:59:59.999,32938501.02175700,91028.0,130908.05583000,17045189.40243960,0
2019-12-21,128.19,128.40000000,126.50000000,126.99,135196.11641,2019-12-21 23:59:59.999,17199278.79468420,64847.0,64958.50230000,8263790.32827360,0
2019-12-20,128.1,129.39000000,125.84000000,128.19,213897.4673,2019-12-20 23:59:59.999,27266605.48486420,90922.0,109755.28767000,13990539.68398590,0
2019-12-19,132.8,134.00000000,125.69000000,128.1,420674.8172,2019-12-19 23:59:59.999,53766864.18518990,154222.0,204489.68391000,26131287.04042130,0
2019-12-18,121.88,134.87000000,116.26000000,132.78,884960.91334,2019-12-18 23:59:59.999,110566290.56933250,252627.0,469544.66440000,58667753.46965980,0
2019-12-17,132.72,132.98000000,119.11000000,121.88,563257.36001,2019-12-17 23:59:59.999,71709329.26891930,178977.0,272414.29784000,34693963.88197660,0
2019-12-16,142.46,142.72000000,127.93000000,132.73,471018.85942,2019-12-16 23:59:59.999,63632055.58494070,153717.0,215716.73176000,29112565.69520390,0
2019-12-15,141.79,144.12000000,139.92000000,142.46,151189.65877,2019-12-15 23:59:59.999,21495196.81888500,77131.0,73238.69048000,10413387.06460380,0
2019-12-14,144.8,145.07000000,141.18000000,141.79,126232.59201,2019-12-14 23:59:59.999,18027581.35954590,76951.0,59729.52052000,8537450.10787950,0
2019-12-13,144.87,146.00000000,142.80000000,144.8,160695.18556,2019-12-13 23:59:59.999,23203419.96161870,90805.0,82252.75063000,11879184.41045830,0
2019-12-12,143.41,145.85000000,139.24000000,144.87,261615.30437,2019-12-12 23:59:59.999,37425277.03812350,99231.0,127845.69433000,18297930.21017830,0
2019-12-11,145.53,146.34000000,142.12000000,143.39,157843.10484,2019-12-11 23:59:59.999,22772651.16812890,69834.0,82484.40373000,11897456.58801180,0
2019-12-10,147.4,148.57000000,143.81000000,145.56,203215.84937,2019-12-10 23:59:59.999,29746845.43242870,85725.0,96914.54456000,14189982.05386240,0
2019-12-09,150.44,151.19000000,146.56000000,147.38,243775.99249,2019-12-09 23:59:59.999,36345702.34808850,92204.0,113225.94088000,16892414.52102660,0
2019-12-08,147.16,151.62000000,146.11000000,150.44,205301.6026,2019-12-08 23:59:59.999,30606289.28539150,79766.0,113946.96048000,16985317.52759580,0
2019-12-07,148.46,149.49000000,146.85000000,147.14,140471.68588,2019-12-07 23:59:59.999,20799551.34569560,70677.0,73739.81386000,10919841.57771310,0
2019-12-06,148.11,149.77000000,145.74000000,148.45,220674.68581,2019-12-06 23:59:59.999,32549526.39959790,90076.0,118938.06254000,17547902.32235480,0
2019-12-05,145.45,149.02000000,143.64000000,148.1,299073.53972,2019-12-05 23:59:59.999,43777241.59082360,111694.0,159810.68936000,23382484.67691740,0
2019-12-04,147.19,151.98000000,143.15000000,145.38,434490.46521,2019-12-04 23:59:59.999,63849308.29357220,149685.0,211432.92469000,31093837.71567280,0
2019-12-03,148.66,149.93000000,145.77000000,147.17,196329.22503,2019-12-03 23:59:59.999,29061161.10177570,87660.0,100293.62450000,14844721.32424090,0
2019-12-02,150.72,151.42000000,146.71000000,148.65,233839.0973,2019-12-02 23:59:59.999,34768563.47186470,107070.0,114158.87515000,16974888.53770170,0
2019-12-01,151.43,152.49000000,145.79000000,150.73,344178.14088,2019-12-01 23:59:59.999,51148792.08299820,125550.0,172849.45417000,25693814.94443980,0
2019-11-30,154.54,155.25000000,149.70000000,151.37,226863.41299,2019-11-30 23:59:59.999,34617912.17868860,96632.0,115076.90179000,17567465.07492850,0
2019-11-29,150.69,157.60000000,150.23000000,154.57,328712.25558,2019-11-29 23:59:59.999,50649319.12094730,129774.0,171812.20099000,26479251.48421680,0
2019-11-28,152.61,154.63000000,149.09000000,150.72,317714.56326,2019-11-28 23:59:59.999,48324220.62056190,124573.0,158837.00332000,24159931.80938630,0
2019-11-27,147.47,155.54000000,140.84000000,152.62,564796.4284,2019-11-27 23:59:59.999,83505998.05488960,192325.0,290667.89068000,43041430.88305020,0
2019-11-26,145.81,149.97000000,143.37000000,147.47,354023.04298,2019-11-26 23:59:59.999,51873405.03929090,132207.0,172671.00371000,25305494.21800260,0
2019-11-25,139.99,151.50000000,131.45000000,145.69,749675.41303,2019-11-25 23:59:59.999,106186791.33716510,238649.0,369097.78378000,52341190.61922980,0
2019-11-24,151.84,152.86000000,138.62000000,139.96,352319.21558,2019-11-24 23:59:59.999,51503705.17773920,158774.0,169721.62425000,24806572.10681470,0
2019-11-23,149.55,154.33000000,146.11000000,151.84,369721.0996,2019-11-23 23:59:59.999,55595157.56404240,177816.0,188200.09056000,28306514.67695320,0
2019-11-22,161.02,162.79000000,138.00000000,149.56,977977.23794,2019-11-22 23:59:59.999,147595324.56439290,324167.0,460516.29463000,69562234.11476300,0
2019-11-21,174.75,175.85000000,157.26000000,161.01,473895.92992,2019-11-21 23:59:59.999,78641896.23038060,178521.0,234632.37028000,38906646.50159150,0
2019-11-20,175.93,177.41000000,173.50000000,174.72,216315.93309,2019-11-20 23:59:59.999,38001672.19309860,106534.0,105958.65927000,18616351.33195330,0
2019-11-19,178.2,178.52000000,172.65000000,175.94,275886.6411,2019-11-19 23:59:59.999,48414106.95693360,125824.0,138098.32741000,24234932.99839650,0
2019-11-18,183.82,184.06000000,175.01000000,178.2,293551.23632,2019-11-18 23:59:59.999,52985734.28078390,131823.0,134230.72271000,24254035.07827020,0
2019-11-17,182.37,186.09000000,180.00000000,183.82,198892.4372,2019-11-17 23:59:59.999,36509968.69910130,93753.0,99564.29673000,18284470.26124200,0
2019-11-16,179.99,183.46000000,179.30000000,182.37,172801.52576,2019-11-16 23:59:59.999,31378510.01538970,89596.0,86531.48564000,15713912.23090380,0
2019-11-15,184.93,186.70000000,177.67000000,180.0,407466.78964,2019-11-15 23:59:59.999,74217250.17271870,156868.0,196587.25275000,35827558.08033390,0
2019-11-14,188.07,188.72000000,183.34000000,184.92,245505.29971,2019-11-14 23:59:59.999,45523714.09855510,114266.0,117241.99539000,21743851.27655660,0
2019-11-13,187.09,189.66000000,185.30000000,188.11,197273.84001,2019-11-13 23:59:59.999,36936429.93594350,89631.0,101255.98817000,18965818.25351880,0
2019-11-12,184.98,187.65000000,182.41000000,187.09,256782.63119,2019-11-12 23:59:59.999,47636043.35288470,124488.0,130189.09727000,24161522.42526670,0
2019-11-11,188.96,190.19000000,184.06000000,184.98,255579.93429,2019-11-11 23:59:59.999,47746876.45656240,128079.0,125060.86932000,23366849.50463640,0
2019-11-10,184.86,191.58000000,183.30000000,188.96,274940.53448,2019-11-10 23:59:59.999,51648623.28633990,133008.0,139412.49207000,26196034.43765130,0
2019-11-09,183.71,185.79000000,182.63000000,184.89,192073.38044,2019-11-09 23:59:59.999,35441967.76569950,112521.0,97836.42113000,18053843.37560730,0
2019-11-08,186.67,188.26000000,181.41000000,183.74,365029.75027,2019-11-08 23:59:59.999,67305417.40505750,167904.0,175732.31788000,32419070.55804890,0
2019-11-07,191.16,192.27000000,184.59000000,186.68,309882.08206,2019-11-07 23:59:59.999,58150631.27682950,152881.0,155433.46587000,29169549.29944800,0
2019-11-06,188.65,195.09000000,187.72000000,191.16,343219.9224,2019-11-06 23:59:59.999,65471595.20700740,160110.0,173260.42539000,33061667.06580340,0
2019-11-05,185.71,192.51000000,182.22000000,188.68,389668.6472,2019-11-05 23:59:59.999,73036074.78097270,184562.0,200247.68513000,37563350.67078340,0
2019-11-04,181.53,188.64000000,180.36000000,185.71,321175.29134,2019-11-04 23:59:59.999,59357371.31413380,147624.0,174839.08251000,32310789.00236290,0
2019-11-03,182.9,184.70000000,178.95000000,181.54,232621.52147,2019-11-03 23:59:59.999,42260620.37702860,109861.0,117372.86999000,21322878.29060180,0
2019-11-02,182.86,186.00000000,181.53000000,182.91,179864.39739,2019-11-02 23:59:59.999,32936676.70820530,107048.0,89462.03413000,16385817.10280250,0
2019-11-01,182.19,184.50000000,177.02000000,182.85,331519.76963,2019-11-01 23:59:59.999,60092727.13917590,154534.0,176366.39217000,31984647.88420370,0
